"Dostopnost izbranih dobrin, glede na dohodek gospodinjstva, po spolu, Slovenija, letno"

"SPOL";"DOHODEK GOSPODINJSTVA - KVINTIL";"DOBRINA";"MERITVE";"2014";"2015";"2016";"2017";"2018"
"Spol - SKUPAJ";"1. kvintil";"Nova oblaèila";"Da";71;83;81;79;82
"Spol - SKUPAJ";"1. kvintil";"Nova oblaèila";"Ne, iz finanènih razlogov";25;14;15;18;14
"Spol - SKUPAJ";"1. kvintil";"Nova oblaèila";"Ne, iz drugih razlogov";4;3;3;3;4
"Spol - SKUPAJ";"1. kvintil";"Dva para èevljev";"Da";97;97;97;96;96
"Spol - SKUPAJ";"1. kvintil";"Dva para èevljev";"Ne, iz finanènih razlogov";3;2;3;4;3
"Spol - SKUPAJ";"1. kvintil";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;1
"Spol - SKUPAJ";"1. kvintil";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";69;77;81;82;83
"Spol - SKUPAJ";"1. kvintil";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";19;13;12;10;8
"Spol - SKUPAJ";"1. kvintil";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";12;10;7;7;9
"Spol - SKUPAJ";"1. kvintil";"Plaèljive prostoèasne aktivnosti";"Da";19;27;32;31;31
"Spol - SKUPAJ";"1. kvintil";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";42;40;36;37;33
"Spol - SKUPAJ";"1. kvintil";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";39;34;32;32;37
"Spol - SKUPAJ";"1. kvintil";"Razpolaganje z manjšim zneskom denarja";"Da";78;85;86;75;76
"Spol - SKUPAJ";"1. kvintil";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";19;13;13;20;17
"Spol - SKUPAJ";"1. kvintil";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";2;2;2;5;7
"Spol - SKUPAJ";"1. kvintil";"Uporaba interneta doma";"Da";58;60;62;66;67
