"Dostopnost izbranih dobrin, po starostnih skupinah in spolu, Slovenija, letno"

"SPOL";"STAROSTNE SKUPINE";"DOBRINA";"MERITVE";"2014";"2015";"2016";"2017";"2018"
"Moški";"16-25 let";"Nova oblaèila";"Da";92;97;97;96;99
"Moški";"16-25 let";"Nova oblaèila";"Ne, iz finanènih razlogov";7;3;3;4;1
"Moški";"16-25 let";"Nova oblaèila";"Ne, iz drugih razlogov";1;0;0;0;0
"Moški";"16-25 let";"Dva para èevljev";"Da";99;99;99;99;100
"Moški";"16-25 let";"Dva para èevljev";"Ne, iz finanènih razlogov";1;1;1;1;0
"Moški";"16-25 let";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;0
"Moški";"16-25 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";90;93;96;97;98
"Moški";"16-25 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";6;4;3;2;1
"Moški";"16-25 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";4;3;2;1;1
"Moški";"16-25 let";"Plaèljive prostoèasne aktivnosti";"Da";54;67;74;73;74
"Moški";"16-25 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";17;13;10;10;9
"Moški";"16-25 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";29;20;15;17;17
"Moški";"16-25 let";"Razpolaganje z manjšim zneskom denarja";"Da";88;94;94;93;94
"Moški";"16-25 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";10;5;5;6;4
"Moški";"16-25 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";2;1;1;1;2
"Moški";"16-25 let";"Uporaba interneta doma";"Da";97;97;98;99;100
"Moški";"16-25 let";"Uporaba interneta doma";"Ne, iz finanènih razlogov";2;1;1;1;0
"Moški";"16-25 let";"Uporaba interneta doma";"Ne, iz drugih razlogov";1;2;1;0;0
"Moški";"26-35 let";"Nova oblaèila";"Da";92;96;97;96;97
"Moški";"26-35 let";"Nova oblaèila";"Ne, iz finanènih razlogov";8;4;3;4;2
"Moški";"26-35 let";"Nova oblaèila";"Ne, iz drugih razlogov";1;0;0;0;0
"Moški";"26-35 let";"Dva para èevljev";"Da";99;99;100;99;99
"Moški";"26-35 let";"Dva para èevljev";"Ne, iz finanènih razlogov";1;1;0;1;1
"Moški";"26-35 let";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;0
"Moški";"26-35 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";91;93;94;95;96
"Moški";"26-35 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";5;4;4;3;2
"Moški";"26-35 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";4;3;2;1;2
"Moški";"26-35 let";"Plaèljive prostoèasne aktivnosti";"Da";47;57;64;62;64
"Moški";"26-35 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";20;17;14;14;10
"Moški";"26-35 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";33;26;22;24;26
"Moški";"26-35 let";"Razpolaganje z manjšim zneskom denarja";"Da";91;95;95;93;93
"Moški";"26-35 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";8;4;4;5;4
"Moški";"26-35 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";1;1;1;2;3
"Moški";"26-35 let";"Uporaba interneta doma";"Da";93;95;97;97;98
"Moški";"26-35 let";"Uporaba interneta doma";"Ne, iz finanènih razlogov";2;2;1;1;1
"Moški";"26-35 let";"Uporaba interneta doma";"Ne, iz drugih razlogov";5;3;2;2;1
"Moški";"36-45 let";"Nova oblaèila";"Da";92;97;97;96;97
"Moški";"36-45 let";"Nova oblaèila";"Ne, iz finanènih razlogov";8;3;3;4;3
"Moški";"36-45 let";"Nova oblaèila";"Ne, iz drugih razlogov";0;0;0;0;0
"Moški";"36-45 let";"Dva para èevljev";"Da";99;100;99;98;99
"Moški";"36-45 let";"Dva para èevljev";"Ne, iz finanènih razlogov";1;0;1;1;1
"Moški";"36-45 let";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;0
"Moški";"36-45 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";87;91;93;95;94
"Moški";"36-45 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";8;4;3;3;2
"Moški";"36-45 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";6;5;4;3;4
"Moški";"36-45 let";"Plaèljive prostoèasne aktivnosti";"Da";40;53;59;59;57
"Moški";"36-45 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";21;16;13;15;12
"Moški";"36-45 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";39;31;28;26;31
"Moški";"36-45 let";"Razpolaganje z manjšim zneskom denarja";"Da";90;94;95;91;92
"Moški";"36-45 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";8;5;4;6;5
"Moški";"36-45 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";1;1;1;3;3
"Moški";"36-45 let";"Uporaba interneta doma";"Da";91;94;95;96;97
"Moški";"36-45 let";"Uporaba interneta doma";"Ne, iz finanènih razlogov";2;2;1;1;1
"Moški";"36-45 let";"Uporaba interneta doma";"Ne, iz drugih razlogov";7;5;4;3;2
"Moški";"46-55 let";"Nova oblaèila";"Da";88;94;96;93;94
"Moški";"46-55 let";"Nova oblaèila";"Ne, iz finanènih razlogov";11;5;4;6;4
"Moški";"46-55 let";"Nova oblaèila";"Ne, iz drugih razlogov";1;1;1;1;2
"Moški";"46-55 let";"Dva para èevljev";"Da";98;99;99;98;98
"Moški";"46-55 let";"Dva para èevljev";"Ne, iz finanènih razlogov";1;1;1;2;1
"Moški";"46-55 let";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;1
"Moški";"46-55 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";82;88;91;92;92
"Moški";"46-55 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";11;7;5;4;3
"Moški";"46-55 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";7;6;3;4;5
"Moški";"46-55 let";"Plaèljive prostoèasne aktivnosti";"Da";33;40;49;49;48
"Moški";"46-55 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";24;22;19;18;18
"Moški";"46-55 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";43;38;32;34;34
"Moški";"46-55 let";"Razpolaganje z manjšim zneskom denarja";"Da";91;93;94;89;89
