"Prebivalstvo, staro 15 ali veè let, po statusu aktivnosti, spolu in izobrazbi, statistiène regije, Slovenija, letno"

"STATISTIÈNA REGIJA";"IZOBRAZBA";"STATUS AKTIVNOSTI";"SPOL";"2013";"2014";"2015";"2016";"2017";"2018"
"Pomurska";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";36914;35806;34654;33587;32490;31455
"Pomurska";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";3683;3521;3400;3275;3146;3005
"Pomurska";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";33231;32285;31254;30312;29344;28450
"Pomurska";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";51591;51094;51280;51241;50922;50963
"Pomurska";"Nižja poklicna, srednja poklicna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";23806;23719;23825;23713;23526;23443
"Pomurska";"Srednja strokovna, srednja splošna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";27785;27375;27455;27528;27396;27520
"Pomurska";"Višješolska, visokošolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";14074;14835;15363;15956;16816;17074
"Pomurska";"Visokošolska 1. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";7046;7687;8043;8386;8775;8946
"Pomurska";"Visokošolska 2. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";6333;6398;6542;6771;7126;7189
"Pomurska";"Visokošolska 3. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";695;750;778;799;915;939
"Podravska";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";74197;72068;69734;67160;65146;63227
"Podravska";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";10409;9892;9431;8986;8605;8194
"Podravska";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";63788;62176;60303;58174;56541;55033
"Podravska";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";157142;155890;155944;155703;154358;154645
"Podravska";"Nižja poklicna, srednja poklicna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";67685;67374;67116;66777;66274;66211
"Podravska";"Srednja strokovna, srednja splošna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";89457;88516;88828;88926;88084;88434
"Podravska";"Višješolska, visokošolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";49303;52500;54291;56060;58578;59872
"Podravska";"Visokošolska 1. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";23236;25741;26875;27914;28941;29663
"Podravska";"Visokošolska 2. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";22713;23194;23725;24286;25248;25712
"Podravska";"Visokošolska 3. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";3354;3565;3691;3860;4389;4497
"Koroška";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";17984;17557;17003;16564;15989;15478
"Koroška";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";3476;3334;3162;2997;2861;2718
"Koroška";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";14508;14223;13841;13567;13128;12760
"Koroška";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";34230;33702;33663;33544;33329;33403
